                                                                     
                                                                     
                                                                     
                                             
Angles in degrees, polarised cross sections in microbarns/sterad
Coefficients A_F, B_F, C_F, D_F for sigmaF = rho*sintheta*[A_F + B_F*x + C_F*(3x^2-1)/2 + D_F*(5x^3-3x)/2] with x = costheta and rho = q/k

------------------------------------------------------------------------------

Channel 256: 144.184 +- 0.722 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
 65.0   5.0          -0.400394         0.241890
 75.0   5.0          -0.487773         0.205468
 85.0   5.0           0.269601         0.166927
 95.0   5.0           0.098373         0.144372
105.0   5.0           0.181387         0.133847
115.0   5.0           0.220343         0.132313
125.0   5.0           0.124207         0.133290
135.0   5.0           0.192247         0.145121
145.0   5.0           0.328021         0.153617
155.0   5.0           0.051726         0.176221
165.0   5.0           0.316499         0.234215
175.0   5.0           0.673492         0.509349

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.166938     0.147672    -0.651138     0.282690     0.152936     0.347727     0.000000     0.000000

chi^2/ndf =  16.368/15 =   1.091

------------------------------------------------------------------------------

Channel 235: 170.909 +- 0.722 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.180175         0.507665
 15.0   5.0          -0.297484         0.289564
 25.0   5.0           0.159259         0.288984
 35.0   5.0          -0.604422         0.299561
 45.0   5.0          -0.623928         0.301481
 55.0   5.0          -0.033800         0.285659
 65.0   5.0          -0.020493         0.250970
 75.0   5.0           0.450963         0.216854
 85.0   5.0           0.000200         0.173241
 95.0   5.0           0.121972         0.149007
105.0   5.0           0.045857         0.138195
115.0   5.0          -0.017719         0.139382
125.0   5.0           0.255102         0.142209
135.0   5.0           0.371557         0.146944
145.0   5.0           0.393720         0.162481
155.0   5.0           0.646294         0.196906
165.0   5.0           0.147795         0.228247
175.0   5.0           1.121705         0.573655

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.185290     0.151282    -0.900409     0.289516     0.318610     0.356605     0.000000     0.000000

chi^2/ndf =  24.654/15 =   1.644

------------------------------------------------------------------------------

Channel 234: 172.179 +- 0.718 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0           0.104122         0.554876
 15.0   5.0           0.186139         0.303078
 25.0   5.0          -0.099966         0.308154
 35.0   5.0          -0.641764         0.310314
 45.0   5.0           0.331080         0.310005
 55.0   5.0          -0.228943         0.293867
 65.0   5.0          -0.218880         0.266740
 75.0   5.0          -0.181861         0.221411
 85.0   5.0           0.061993         0.180180
 95.0   5.0           0.025374         0.153172
105.0   5.0           0.207439         0.141189
115.0   5.0           0.244637         0.138855
125.0   5.0           0.133610         0.144721
135.0   5.0           0.384657         0.153548
145.0   5.0           0.310075         0.170273
155.0   5.0           0.656935         0.196784
165.0   5.0           0.037710         0.252618
175.0   5.0           0.371222         0.535133

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.196050     0.154228    -0.948306     0.294480     0.415260     0.363105     0.000000     0.000000

chi^2/ndf =  12.415/15 =   0.828

------------------------------------------------------------------------------

Channel 233: 173.448 +- 0.715 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.125665         0.734859
 15.0   5.0          -0.883559         0.440492
 25.0   5.0           0.010189         0.447667
 35.0   5.0          -0.275078         0.460628
 45.0   5.0           0.777365         0.464578
 55.0   5.0          -1.082950         0.438311
 65.0   5.0           0.006921         0.382673
 75.0   5.0           0.091287         0.321836
 85.0   5.0           0.342640         0.262508
 95.0   5.0           0.143897         0.220356
105.0   5.0           0.418131         0.208028
115.0   5.0           0.337514         0.204612
125.0   5.0           0.085866         0.214655
135.0   5.0           0.304676         0.230580
145.0   5.0           0.277892         0.250425
155.0   5.0           0.459572         0.279796
165.0   5.0          -0.053469         0.350966
175.0   5.0          -2.114669         1.084348

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
  0.192314     0.222790    -0.918335     0.426353    -0.419310     0.522230     0.000000     0.000000

chi^2/ndf =  19.608/15 =   1.307

------------------------------------------------------------------------------

Channel 232: 174.717 +- 0.711 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.181429         0.508235
 15.0   5.0          -0.397029         0.340311
 25.0   5.0          -0.467840         0.334671
 35.0   5.0          -0.266988         0.350414
 45.0   5.0          -0.454519         0.348654
 55.0   5.0          -0.351451         0.326776
 65.0   5.0          -0.214223         0.289981
 75.0   5.0          -0.087759         0.238151
 85.0   5.0          -0.116234         0.196720
 95.0   5.0           0.282062         0.166566
105.0   5.0           0.156910         0.155992
115.0   5.0           0.317780         0.158709
125.0   5.0           0.270290         0.160008
135.0   5.0           0.159627         0.166510
145.0   5.0           0.372014         0.186160
155.0   5.0           0.416855         0.210726
165.0   5.0          -0.071968         0.265688
175.0   5.0           0.743022         0.563324

A_F          DA_F         B_F          DB_F         C_F          DC_F         D_F          DD_F
 -0.056685     0.164443    -1.318215     0.315042    -0.369725     0.385489     0.000000     0.000000

chi^2/ndf =   6.400/15 =   0.427

------------------------------------------------------------------------------

Channel 231: 175.985 +- 0.707 MeV (preliminary)

theta   Dtheta        sigmaF           DsigmaF
  5.0   5.0          -0.198700         0.507092
 15.0   5.0          -0.151094         0.332806
 25.0   5.0          -0.079974         0.345648
 35.0   5.0          -0.149134         0.345677
 45.0   5.0          -0.475326         0.351353
 55.0   5.0          -0.558328         0.327165
 65.0   5.0           0.164588         0.287639
 75.0   5.0          -0.007840         0.239875
 85.0   5.0           0.059932         0.194698
 95.0   5.0           0.167364         0.167813
105.0   5.0           0.198934         0.157119
